timestamp,symbol,price,size,notional,exchange_or_ats,trade_condition,relative_volume,price_level_cumulative_volume,dp_pct,window,accumulation_distribution_slope,cost_zone_position,large_distribution,floor_support,source
2026-08-17T04:00:00-04:00,MSFT,492.12,9006,4441661.32,,,,166,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:01:00-04:00,MSFT,493.01,6624,3266013.01,,,,25,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:02:00-04:00,MSFT,492.26,15,7386.56,,,,192,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:03:00-04:00,MSFT,492.05,125,61501.94,,,,70,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:04:00-04:00,MSFT,491.5,344,169067.78,,,,1091,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:05:00-04:00,MSFT,491.41,47,23102.83,,,,662,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:06:00-04:00,MSFT,493.83,340,167635.54,,,,43,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:07:00-04:00,MSFT,491.89,66,32465.46,,,,633,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:08:00-04:00,MSFT,491.5,30,14747.3,,,,1091,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:09:00-04:00,MSFT,491.52,13,6390.61,,,,649,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:10:00-04:00,MSFT,491.57,70,34406.95,,,,5045,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:11:00-04:00,MSFT,491.55,636,312650.47,,,,2290,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-17T04:12:00-04:00,MSFT,491.97,18,8851.52,,,,292,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
