timestamp,symbol,price,size,notional,exchange_or_ats,trade_condition,relative_volume,price_level_cumulative_volume,dp_pct,window,accumulation_distribution_slope,cost_zone_position,large_distribution,floor_support,source
2026-08-18T04:00:00-04:00,COHR,339.3,4252,1448200.21,,,,145,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:01:00-04:00,COHR,339.0,13401,4576165.83,,,,179,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:02:00-04:00,COHR,337.62,100,33755.0,,,,0,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:03:00-04:00,COHR,336.8,48,16326.13,,,,2,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:04:00-04:00,COHR,335.85,132,44367.35,,,,6,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:05:00-04:00,COHR,342.55,1069,363840.61,,,,66,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:06:00-04:00,COHR,335.97,115,38583.63,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:07:00-04:00,COHR,334.71,565,189301.69,,,,12,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:08:00-04:00,COHR,335.04,31,10388.72,,,,5,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:09:00-04:00,COHR,335.08,91,30498.19,,,,188,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:10:00-04:00,COHR,334.58,409,136840.37,,,,125,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:11:00-04:00,COHR,334.98,71,23742.9,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:12:00-04:00,COHR,335.0,74,24759.16,,,,300,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:13:00-04:00,COHR,335.73,201,67495.73,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:14:00-04:00,COHR,335.5,6,2012.5,,,,143,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:15:00-04:00,COHR,335.15,25,8377.35,,,,9,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:16:00-04:00,COHR,335.75,27,9060.91,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:17:00-04:00,COHR,335.6,51,17115.65,,,,50,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:18:00-04:00,COHR,334.66,48,16083.4,,,,5,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:19:00-04:00,COHR,336.0,10,3360.0,,,,80,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:20:00-04:00,COHR,334.9,20,6697.86,,,,4,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:21:00-04:00,COHR,333.09,115,38301.21,,,,6,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:22:00-04:00,COHR,333.01,225,74948.35,,,,200,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:23:00-04:00,COHR,332.75,62,20646.86,,,,122,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:24:00-04:00,COHR,332.76,167,55595.62,,,,49,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:25:00-04:00,COHR,332.17,39,12982.48,,,,4,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:26:00-04:00,COHR,331.93,101,33517.35,,,,33,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:27:00-04:00,COHR,333.88,26,8670.84,,,,30,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:28:00-04:00,COHR,332.44,7,2331.93,,,,108,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:29:00-04:00,COHR,332.6,8,2660.55,,,,93,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:30:00-04:00,COHR,332.87,69,22959.98,,,,82,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:31:00-04:00,COHR,333.0,753,250113.68,,,,736,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:32:00-04:00,COHR,333.0,31,10330.13,,,,736,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:33:00-04:00,COHR,333.2,43,14334.12,,,,18,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:34:00-04:00,COHR,332.2,381,126746.9,,,,1381,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:35:00-04:00,COHR,334.15,109,36358.6,,,,10,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
