timestamp,symbol,price,size,notional,exchange_or_ats,trade_condition,relative_volume,price_level_cumulative_volume,dp_pct,window,accumulation_distribution_slope,cost_zone_position,large_distribution,floor_support,source
2026-08-18T04:00:00-04:00,LITE,949.8,2625,2487222.72,,,,0,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:01:00-04:00,LITE,943.04,3956,3753515.97,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:02:00-04:00,LITE,945.08,109,102485.51,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:03:00-04:00,LITE,944.0,226,213043.72,,,,30,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:04:00-04:00,LITE,935.01,71,66393.34,,,,148,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:05:00-04:00,LITE,935.3,12,11223.95,,,,29,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:06:00-04:00,LITE,935.0,222,207036.8,,,,1311,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:07:00-04:00,LITE,931.0,1091,1030185.1,,,,3497,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:08:00-04:00,LITE,932.6,312,290589.33,,,,69,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:09:00-04:00,LITE,935.51,49,45797.45,,,,162,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:10:00-04:00,LITE,933.1,74,69001.41,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:11:00-04:00,LITE,933.0,43,40093.38,,,,714,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:12:00-04:00,LITE,934.0,56,52231.99,,,,882,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:13:00-04:00,LITE,936.0,5,4679.95,,,,264,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:14:00-04:00,LITE,934.12,111,103847.65,,,,2,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:15:00-04:00,LITE,936.44,55,51448.93,,,,27,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:17:00-04:00,LITE,937.04,7,6555.4,,,,82,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:18:00-04:00,LITE,935.37,12,11231.21,,,,3,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:19:00-04:00,LITE,936.44,21,19647.24,,,,27,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:20:00-04:00,LITE,936.87,23,21463.0,,,,0,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:21:00-04:00,LITE,930.01,77,71707.97,,,,680,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:22:00-04:00,LITE,929.99,102,94869.65,,,,165,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:23:00-04:00,LITE,928.0,13,12066.9,,,,358,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:24:00-04:00,LITE,927.5,12,11155.95,,,,243,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:25:00-04:00,LITE,928.5,93,86324.66,,,,42,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:26:00-04:00,LITE,930.09,6,5581.06,,,,200,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:27:00-04:00,LITE,932.0,30,27940.8,,,,233,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:28:00-04:00,LITE,932.93,272,253504.37,,,,156,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:29:00-04:00,LITE,935.0,18,16761.21,,,,1311,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:31:00-04:00,LITE,931.48,3,2797.08,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:32:00-04:00,LITE,935.74,0,0.0,,,,0,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:33:00-04:00,LITE,932.39,0,0.0,,,,3,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:34:00-04:00,LITE,929.58,51,47560.58,,,,267,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:35:00-04:00,LITE,935.65,3,2793.0,,,,148,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:36:00-04:00,LITE,932.62,6,5601.87,,,,69,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
