timestamp,option_symbol,underlying,expiration,dte,strike,call_put,trade_price,bid,ask,trade_size,premium,volume,open_interest,underlying_price,iv,delta,exchange,trade_condition,sweep,block,multi_leg,aggressor_side,opening_closing_inference,moneyness,source
2026-08-18T11:59:27.097000-04:00,,MU,2026-08-28,10.208703703703703,945.0,put,42.0,42.0,44.15,60,252000.0,139,122,943.97,66.99562072753906,-0.4765526627509296,PACF,AUTO,false,false,false,bid,unknown,AT_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T11:59:51.584000-04:00,,MU,2026-08-19,1.208425925925926,960.0,call,9.23,9.05,9.3,100,92300.0,11916,158,944.76,71.47789001464844,0.3576413069163422,PHIL,AUCT,false,true,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:00:07.369000-04:00,,MU,2026-08-19,1.2082407407407407,960.0,call,9.6,9.6,9.65,100,96000.0,12018,158,946.04,71.00105285644531,0.3692426858932174,BOST,AUTO,false,true,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:16.465000-04:00,,MU,2027-02-19,185.24841435185184,1950.0,call,31.32,31.5,32.4,75,234900.0,211,120,946.19,74.91111755371094,0.14874676575935125,AMEX,MULTI_AUTO_COB,false,true,true,unknown,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:16.465000-04:00,,MU,2027-02-19,185.24841435185184,1440.0,call,72.17,69.95,74.3,75,541275.0,75,134,946.19,71.38252258300781,0.3011556929584659,AMEX,MULTI_AUTO_COB,false,true,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:26.896000-04:00,,MU,2027-02-19,185.2482986111111,1950.0,call,31.92,31.5,32.4,75,239400.0,286,120,946.22,75.29258728027344,0.15062122925823873,PHIL,MULTI_AUTO_COB,false,true,true,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:26.896000-04:00,,MU,2027-02-19,185.2482986111111,1440.0,call,73.26,70.4,73.8,75,549450.0,150,134,946.22,71.85935974121094,0.3030879503925475,PHIL,MULTI_AUTO_COB,false,true,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:37.282000-04:00,,MU,2026-09-25,38.20650462962963,1000.0,call,64.0,62.1,66.35,75,480000.0,258,572,945.81,69.09370422363281,0.45469305108164765,EDGX,AUTO,false,true,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:46.811000-04:00,,MU,2026-08-19,1.206400462962963,960.0,call,9.54,9.4,9.6,450,429742.0,12528,158,946.01,70.81031799316406,0.36845829537336583,CBOE,AUCT,false,false,false,ask,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T12:02:57.437000-04:00,,MU,2026-09-11,24.206273148148146,850.0,put,23.25,22.7,23.75,100,232500.0,148,250,945.8,65.46974182128906,-0.23056916182519777,BATS,AUTO,false,true,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
