timestamp,symbol,price,size,notional,exchange_or_ats,trade_condition,relative_volume,price_level_cumulative_volume,dp_pct,window,accumulation_distribution_slope,cost_zone_position,large_distribution,floor_support,source
2026-08-18T04:00:00-04:00,SNDK,1717.0,21975,37818342.7,,,,3562,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:01:00-04:00,SNDK,1713.74,30133,51815022.29,,,,32,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:02:00-04:00,SNDK,1701.91,939,1603163.84,,,,90,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:03:00-04:00,SNDK,1695.0,4088,6936608.19,,,,9620,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:04:00-04:00,SNDK,1697.42,1567,2656924.44,,,,267,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:05:00-04:00,SNDK,1707.99,2560,4340691.32,,,,141,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:06:00-04:00,SNDK,1689.25,4311,7325897.47,,,,230,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:07:00-04:00,SNDK,1684.62,1624,2743404.5,,,,248,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:08:00-04:00,SNDK,1690.94,674,1137969.39,,,,2,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:09:00-04:00,SNDK,1689.63,700,1182918.92,,,,294,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:10:00-04:00,SNDK,1682.46,1811,3049406.26,,,,338,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:11:00-04:00,SNDK,1685.97,853,1438668.96,,,,631,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:12:00-04:00,SNDK,1687.94,1176,1983229.23,,,,362,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:13:00-04:00,SNDK,1687.14,468,790243.0,,,,185,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:14:00-04:00,SNDK,1685.22,465,784427.7,,,,689,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:15:00-04:00,SNDK,1688.9,875,1475646.34,,,,39,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:16:00-04:00,SNDK,1689.5,904,1527393.74,,,,369,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:17:00-04:00,SNDK,1685.97,3064,5165575.58,,,,631,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:18:00-04:00,SNDK,1685.16,1640,2760175.96,,,,114,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:19:00-04:00,SNDK,1681.38,1934,3261752.07,,,,93,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:20:00-04:00,SNDK,1680.29,1109,1864238.51,,,,181,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:21:00-04:00,SNDK,1673.51,1939,3246872.29,,,,956,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:22:00-04:00,SNDK,1676.54,1816,3041324.3,,,,70,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:23:00-04:00,SNDK,1675.67,693,1161810.31,,,,180,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:24:00-04:00,SNDK,1675.23,1083,1814779.36,,,,397,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:25:00-04:00,SNDK,1677.92,1955,3269936.38,,,,136,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:26:00-04:00,SNDK,1679.09,780,1309058.81,,,,452,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:27:00-04:00,SNDK,1681.27,1055,1771999.14,,,,127,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:28:00-04:00,SNDK,1679.01,407,683914.4,,,,1428,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:29:00-04:00,SNDK,1680.68,523,878521.39,,,,170,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:30:00-04:00,SNDK,1678.51,264,443586.39,,,,25,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:31:00-04:00,SNDK,1684.0,384,645934.62,,,,3959,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:32:00-04:00,SNDK,1685.51,344,579367.51,,,,205,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:33:00-04:00,SNDK,1688.0,1234,2082337.1,,,,8294,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:34:00-04:00,SNDK,1690.93,335,565376.98,,,,2,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:35:00-04:00,SNDK,1691.2,506,854781.22,,,,33,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:36:00-04:00,SNDK,1688.87,501,846555.23,,,,185,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:37:00-04:00,SNDK,1691.0,307,519039.75,,,,1056,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:38:00-04:00,SNDK,1693.74,385,651651.57,,,,675,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:39:00-04:00,SNDK,1694.41,706,1195641.74,,,,268,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:40:00-04:00,SNDK,1691.92,236,399270.98,,,,3,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:41:00-04:00,SNDK,1692.49,431,729971.78,,,,163,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:42:00-04:00,SNDK,1688.99,997,1685022.11,,,,602,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:43:00-04:00,SNDK,1688.09,673,1135949.68,,,,45,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:44:00-04:00,SNDK,1690.0,196,331223.54,,,,6549,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:45:00-04:00,SNDK,1685.54,622,1049477.29,,,,535,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-18T04:46:00-04:00,SNDK,1681.89,877,1476570.79,,,,145,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
