timestamp,symbol,price,size,notional,exchange_or_ats,trade_condition,relative_volume,price_level_cumulative_volume,dp_pct,window,accumulation_distribution_slope,cost_zone_position,large_distribution,floor_support,source
2026-08-19T04:00:00-04:00,BE,210.95,25296,5167183.94,,,,126,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:01:00-04:00,BE,211.0,20793,4265780.49,,,,1982,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:02:00-04:00,BE,212.23,193,40783.57,,,,5,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:03:00-04:00,BE,213.3,46,9794.09,,,,278,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:04:00-04:00,BE,213.49,68,14510.99,,,,440,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:05:00-04:00,BE,208.44,2614,538151.85,,,,602,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:06:00-04:00,BE,212.6,274,58312.94,,,,1099,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:07:00-04:00,BE,213.2,160,34087.27,,,,166,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:08:00-04:00,BE,213.01,214,45608.2,,,,169,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:09:00-04:00,BE,213.0,143,30456.09,,,,3457,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:10:00-04:00,BE,212.9,113,24055.75,,,,174,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:11:00-04:00,BE,213.5,25,5337.27,,,,2814,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:12:00-04:00,BE,213.08,139,29670.55,,,,30,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:13:00-04:00,BE,212.8,121,25757.02,,,,120,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:14:00-04:00,BE,212.95,60,12778.95,,,,186,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:15:00-04:00,BE,213.0,8,1703.74,,,,3457,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:16:00-04:00,BE,212.38,453,96041.9,,,,15,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:17:00-04:00,BE,211.1,297,62700.7,,,,632,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:18:00-04:00,BE,211.18,137,28916.66,,,,771,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:19:00-04:00,BE,212.3,199,42061.1,,,,157,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:20:00-04:00,BE,213.0,66,14004.51,,,,3457,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:21:00-04:00,BE,212.45,7,1487.3,,,,6,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:22:00-04:00,BE,213.45,483,102873.75,,,,2956,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:23:00-04:00,BE,213.13,185,39482.91,,,,34,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:24:00-04:00,BE,213.13,33,7043.76,,,,34,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:25:00-04:00,BE,212.99,4,852.2,,,,165,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:26:00-04:00,BE,212.9,62,13208.93,,,,174,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:27:00-04:00,BE,213.01,21,4472.83,,,,169,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:28:00-04:00,BE,212.75,25,5323.96,,,,722,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:29:00-04:00,BE,212.8,15,3192.0,,,,120,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:30:00-04:00,BE,213.02,65,13853.1,,,,35,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:31:00-04:00,BE,212.88,10,2128.8,,,,35,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:32:00-04:00,BE,212.0,876,185722.2,,,,4522,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:33:00-04:00,BE,211.14,132,27914.36,,,,139,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:34:00-04:00,BE,212.18,92,19491.81,,,,128,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:35:00-04:00,BE,212.44,86,18269.84,,,,114,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:36:00-04:00,BE,211.49,51,10802.29,,,,63,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:37:00-04:00,BE,212.0,98,20778.46,,,,4522,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:38:00-04:00,BE,212.16,2,424.32,,,,8,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:39:00-04:00,BE,212.44,14,2972.6,,,,114,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:40:00-04:00,BE,212.44,232,49353.19,,,,114,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:41:00-04:00,BE,212.4,59,12542.85,,,,241,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:42:00-04:00,BE,212.22,40,8501.91,,,,16,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:44:00-04:00,BE,212.5,31,6587.6,,,,751,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:45:00-04:00,BE,212.94,0,0.0,,,,43,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:46:00-04:00,BE,212.95,14,2981.3,,,,186,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:47:00-04:00,BE,212.98,250,53245.0,,,,250,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:48:00-04:00,BE,213.37,20,4260.6,,,,334,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:49:00-04:00,BE,212.85,36,7661.83,,,,82,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:50:00-04:00,BE,212.67,104,22116.67,,,,204,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:51:00-04:00,BE,213.21,242,51562.14,,,,1,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:52:00-04:00,BE,213.2,557,118502.44,,,,166,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:53:00-04:00,BE,213.01,18,3837.78,,,,169,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:54:00-04:00,BE,213.25,49,10448.1,,,,356,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:55:00-04:00,BE,213.15,300,63924.45,,,,163,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:56:00-04:00,BE,213.0,13,2769.0,,,,3457,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:57:00-04:00,BE,213.0,11,2344.96,,,,3457,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:58:00-04:00,BE,213.25,82,17475.13,,,,356,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-19T04:59:00-04:00,BE,212.9,216,46003.56,,,,174,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
