timestamp,option_symbol,underlying,expiration,dte,strike,call_put,trade_price,bid,ask,trade_size,premium,volume,open_interest,underlying_price,iv,delta,exchange,trade_condition,sweep,block,multi_leg,aggressor_side,opening_closing_inference,moneyness,source
2026-08-19T09:40:39.786000-04:00,,CBRS,2026-09-18,30.305092592592597,300.0,call,4.6,4.4,5.3,100,46000.0,113,892,208.32,107.33604431152344,0.15583552217247088,PHIL,AUCT,false,true,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:41:06.116000-04:00,,CBRS,2026-08-21,2.3047800925925928,230.0,call,2.2,2.2,2.55,169,37252.0,270,2143,208.74,131.6547393798828,0.1917654619105214,MULTIPLE,ISO,true,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:41:55.003000-04:00,,CBRS,2026-09-18,30.304212962962964,280.0,call,6.4,5.9,6.4,200,128000.0,207,294,208.29,104.66575622558594,0.20697462314890258,PERL,AUTO,false,true,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:44:21.305000-04:00,,CBRS,2026-08-28,9.302523148148149,250.0,call,4.38,3.8,4.4,100,43800.0,120,677,212.0,115.82374572753906,0.2142038841180356,BOST,MULTI_AUCT_COB,false,false,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:44:21.305000-04:00,,CBRS,2026-08-28,9.302523148148149,275.0,call,2.2,1.85,2.2,100,22000.0,117,80,212.0,125.07438659667969,0.11558331367927716,BOST,MULTI_AUCT_COB,false,false,true,ask,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:48:46.881000-04:00,,CBRS,2026-08-21,2.2994560185185184,205.0,put,5.6,5.6,5.8,100,56000.0,177,875,209.36,116.01448059082031,-0.39053181353838556,C2,AUTO,false,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:51:42.270000-04:00,,CBRS,2026-08-21,2.2974189814814814,235.0,call,1.25,1.15,1.25,150,18750.0,191,604,205.4,137.18605041503906,0.1191644693432411,PERL,AUTO,false,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T09:53:07.638000-04:00,,CBRS,2026-08-21,2.296435185185185,230.0,call,1.65,1.6,1.65,100,16500.0,487,2143,205.19,133.37135314941406,0.1532274139521272,ISEX,AUTO,false,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:09:27.099000-04:00,,CBRS,2026-10-16,58.2850925925926,125.0,put,1.66,1.3,2.35,9500,1577000.0,9501,18747,204.54,84.92469787597656,-0.05013237790361741,PHIL,AUCT,false,true,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:15:50.967000-04:00,,CBRS,2026-08-21,2.280659722222222,210.0,call,4.48,4.1,4.9,250,112003.0,343,619,201.28,124.69291687011719,0.3527126957915196,MIAX,AUCT,false,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:28:29.954000-04:00,,CBRS,2026-09-18,30.271874999999998,300.0,call,4.2,3.8,4.2,100,42000.0,356,892,205.84,107.14530944824219,0.14602300554449316,MEMX,AUTO,false,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:30:34.416000-04:00,,CBRS,2026-08-21,2.2704282407407406,230.0,call,1.5,1.5,1.7,144,21602.0,702,2143,205.85,127.55393981933594,0.1469213804292681,MULTIPLE,AUTO,true,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:30:40.224000-04:00,,CBRS,2026-08-21,2.2703587962962963,230.0,call,1.5,1.5,1.7,136,20400.0,849,2143,205.92,127.26783752441406,0.1473000054923324,MULTIPLE,AUTO,true,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:38:15.314000-04:00,,CBRS,2026-08-28,9.265092592592593,205.0,call,14.77,13.8,15.7,100,147700.0,192,38,208.62,97.03636169433594,0.5787727671611067,SPHR,M2M_FLR,false,true,false,ask,opening,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-19T10:38:15.314000-04:00,,CBRS,2026-08-28,9.265092592592593,202.5,call,16.04,15.1,17.0,100,160400.0,166,3,208.62,96.55952453613281,0.6097430502889801,SPHR,M2M_FLR,false,true,false,bid,opening,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
