timestamp,symbol,price,size,notional,exchange_or_ats,trade_condition,relative_volume,price_level_cumulative_volume,dp_pct,window,accumulation_distribution_slope,cost_zone_position,large_distribution,floor_support,source
2026-08-21T04:00:00-04:00,HOOD,98.48,67022,6528917.34,,,,3035,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:01:00-04:00,HOOD,98.25,38905,3793802.11,,,,1216,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:02:00-04:00,HOOD,98.51,116,11432.92,,,,5,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:03:00-04:00,HOOD,98.94,3565,351907.32,,,,1846,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:04:00-04:00,HOOD,98.99,9220,913614.09,,,,8646,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:05:00-04:00,HOOD,99.01,2943,290128.15,,,,3367,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:06:00-04:00,HOOD,98.67,302,29880.14,,,,6,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:07:00-04:00,HOOD,99.09,1344,132589.04,,,,325,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:08:00-04:00,HOOD,99.38,3437,340892.8,,,,3731,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:09:00-04:00,HOOD,99.4,678,67329.43,,,,14020,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:10:00-04:00,HOOD,99.19,529,52473.4,,,,7074,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:11:00-04:00,HOOD,99.13,1259,124797.8,,,,739,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:12:00-04:00,HOOD,99.35,77,7646.23,,,,2448,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:13:00-04:00,HOOD,99.29,358,35576.6,,,,4579,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:14:00-04:00,HOOD,99.17,80,7941.89,,,,3939,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:15:00-04:00,HOOD,99.23,1725,171251.25,,,,2880,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:16:00-04:00,HOOD,99.28,262,25977.95,,,,3358,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:17:00-04:00,HOOD,99.5,322,31974.42,,,,11615,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:18:00-04:00,HOOD,99.6,1581,157363.27,,,,35971,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
2026-08-21T04:19:00-04:00,HOOD,99.68,2209,220312.13,,,,9466,,1m,,,,,QuantData dark-flow; session price levels from dark-pool-levels
